nama,kategori,alamat,lat,lon
KIOS HABIL,Perdagangan,Jl. Terong,-0.9540322440029886,131.303114622371
PENCUCIAN MOTOR MOBIL AngAnto,Jasa,Jl. Terong,-0.9539600128940717,131.30395040719955
Gado" mama rio,Kuliner,Jl. Terong,-0.9540074215274575,131.30488164180892
Depot Al - Izzah,Jasa, Jl. Terong,-0.9537429965388398,131.30539733930627
Toserba dan Jastip Manaf,Jasa,Jl. Terong,-0.9539725021844303,131.30417468154326
Store aifatar,Perdagangan,Jl. Terong,-0.9541159804730557,131.3057343860943
IFO BOBA,Kuliner,Jl. Terong,-0.9537029775375772,131.30600797141312
AngkringanAR,Kuliner,Jl. Terong,-0.9537452042016902,131.30619284884813
Lapak Somay Alfa,Kuliner,Jl.Terong,-0.954062343730506,131.30638616287987
Yurni Empek-Empek,Kuliner,Jl.Terong,-0.9541414579252502,131.30780102813827
BARBER G4UL,Jasa,Jl. Terong,-0.9538613248688567,131.3094253276624
Kios Endy,Perdagangan,Jl. Terong,-0.9542724405900403,131.31369208652072
ES TELER VIRAL,Kuliner,Jl. Buncis,-0.9568490411448257,131.31398135147015
Central Buah,Perdagangan,Jl. Buncis,-0.9569204730287845,131.31323772810526
Creamy Desert,Kuliner,Jl. Buncis,-0.9571811134459731,131.31398460992665
Bakso Mie Ayam Barokah,Kuliner,Jl. Buncis,-0.9571992158308474,131.31386592217922
TWINS LAUNDRY,Jasa,Jl. Buncis,-0.9572769890357249,131.31391554304656
Tahu petis & Tahu walik,Kuliner,Jl. Buncis,-0.957158317851684,131.3133180809916
Panca Berkat,Perdagangan,Jl. Buncis,-0.9568756034158783,131.31329607122987
Terang bulan dan martabak telur aroma tegal D5,Kuliner,Jl. Buncis,-0.9569525986241555,131.31308214118235
Telur gulung bang ito,Kuliner,Jl. Buncis,-0.9570836996819004,131.31289701555542
Toko Sahabat,Perdagangan,Jl. Buncis,-0.9574021675485782,131.31350118313287
Batagor bandung,Kuliner,Jl. Buncis,-0.9571018020658716,131.3128339836425
KEDAI NYEMPIL,Kuliner,Jl. Buncis,-0.9568476314105264,131.31248454624364
Mini Resto (DFC),Kuliner,Jl. Buncis,-0.9569121070948303,131.31261446389956
Kedai MECCA,Kuliner,Jl. Buncis,-0.9568291097700611,131.31224050271962
KVN. FOTOCOPY,Jasa,Jl. Buncis,-0.957053042982479,131.31216808307667
Rumah Makan Ayah Masakan Padang Cabang SMEA Aimas,Kuliner,Jl. Buncis,-0.9571643391253312,131.31218954074697
pangkas full ac,Jasa,Jl. Buncis,-0.9569068829837931,131.31195082414536
Warung Bakso Pak Min "Khas Solo",Kuliner,Jl. Buncis,-0.9570946114215515,131.31181537258976
SANDANGI SHOES CLEAN AND CARE,Jasa,Jl. Buncis,-0.9568921328922557,131.31158336151196
Resto Mbok Galak🔥,Kuliner,Jl. Buncis,-0.9571581568366503,131.31148541535134
KARTINI MINIMARKET,Perdagangan,Jl. Buncis,-0.9573002940713907,131.3114317711685
Es Durian 3900 Mbk Endang,Kuliner,Jl. Buncis,-0.9568712005094293,131.3110884484175
Warung makan Auliya Indriani,Kuliner,Jl. Buncis,-0.9571340203239043,131.3110254164999
Kios Kembang Kandang,Perdagangan,Jl. Buncis,-0.9571688841731479,131.31095031464739
Aimas Bouquet,Jasa,Jl. Buncis,-0.9568846096833241,131.31087521279557
SiLo Motor,Jasa,Jl. Buncis,-0.9567294452549933,131.31065569284536
Nana HomeDECOR,Jasa,Jl. Buncis,-0.9568906342623819,131.31070121133655
Almeyra Beauty,Perdagangan,Jl. Buncis,-0.956914299085612,131.31052365993602
SAN LAUNDRY,Jasa,Jl. Buncis,-0.9570711864232254,131.31050086115982
Warkop Begadang,Kuliner,Jl. Buncis,-0.9568700488101346,131.31012803411005
LITA KEBAB Cab.1,Kuliner,Jl. Buncis,-0.9571127548628195,131.31004622673538
Jual krupuk mentah grosir,Perdagangan,Jl. Buncis,-0.9569505038574472,131.3100878009716
Donny Repair/DOKTER HP,Jasa,Jl. Buncis,-0.9568552987179101,131.30988395308643
Bengkel Perahu Fiber Amanah,Jasa,Jl. Buncis,-0.9567574117408487,131.30966401194758
TOKO DEWAN MURA,Perdagangan,Jl. Buncis,-0.9568881403664415,131.3094766944776
RujaQuinna,Kuliner,Jl. Buncis,-0.9569663772483051,131.30915243495323
Lemonade,Kuliner,Jl. Buncis,-0.956836050985296,131.30915674596497
KEDAI PENUH RASA,Kuliner,Jl. Buncis,-0.9570775124156515,131.30892611927732
Lalapan Gombong,Kuliner,Jl. Buncis,-0.9568736929659905,131.3089998800254
Sumber Barokah,Perdagangan,Jl. Buncis-0.9571287843856437,131.30889048274676
Cuci Mobil Restu Ibu,Jasa,Jl. Buncis,-0.9571207388820652,131.30872753854766
Bubur Ayam Mang Ono Cabang Aimas Unit 2,Kuliner,Jl. Buncis,-0.9568579190670177,131.30878855880135
RM. Surya Minang masakan padang,Kuliner,Jl. Buncis,-0.9568619418192967,131.30863768454574
DFC Dewe Fried Chicken,Kuliner,Jl. Buncis,-0.9571147047530358,131.3086189090825
KIOS NADIR,Perdagangan,Jl. Buncis,-0.95711403429417,131.30841975506442
TOKO BANGUNAN SENTOSA SEJAHTERA,Perdagangan,Jl. Buncis,-0.9569390445736541,131.3083540409436
Kios Awal,Perdagangan,Jl. Buncis,-0.9571113524598388,131.30832990106077
KEDAI BINZOE,Kuliner,Jl. Buncis,-0.9571073297078269,131.3081971317155
Jasa ikan bakar madura,Kuliner,Jl. Buncis,-0.9568988170491327,131.3079584151128
Konter Almeera,Jasa,Jl. Buncis,-0.9568203733765984,131.3076539843884
Warung Lalapan Sambal ulek Cobek Pak Sulthon Lamongan,Kuliner,Jl. Buncis,-0.9568062937430108,131.30758424695537
Mie Ayam & Bakso Mas Min Cabang KM 10,Kuliner,Jl. Buncis,-0.9568619418183172,131.30758759971658
Pangestu M@rt,Perdagangan,Jl. Buncis,-0.9568363754621514,131.30744932164296
Toko Surya Baru,Kuliner,Jl. Buncis,-0.9571012066536565,131.30747949649083
Pj pain n brush,Jasa,Jl. Buncis,-0.956951572509813,131.30696902299715
Warung lesehan restu ibu,Kuliner,Jl. Buncis,-0.9570669549482921,131.30650090129092
STAR MOTOR,Jasa,Jl. Buncis,-0.9568188852221103,131.30647676140902
Pangkas AURADEWA,Jasa,Jl. Buncis,-0.9571125461384224,131.30644055158803
Terang Bulan dan Martabak Dua Putri,Kuliner,Jl. Buncis,-0.9568064731375795,131.3062079112752
Aimas Motor,Jasa,Jl. Buncis,-0.9570746566241517,131.30603222658618
Warung mak tri,Kuliner,Jl. Buncis,-0.9567608819420677,131.30601143946672
estehnusantara.aimas,Kuliner,Jl. Buncis,-0.9570860544231282,131.30590012779018
ANGKRINGAN MAS WAWAN/ BU MIFTA,Kuliner,Jl. Buncis,-0.9570534701556411,131.30572489793082
